Exclure;code OACI;Nom;Lattitude;Longitude;Statut;VFR nuit;Essence
;LFSH;HAGUENAU;48:47.867N;007:49.218E;aéro ouvert CAP;non;oui
;LFTH;HYERES LE PALYVESTRE;43:05.831N;006:08.767E;aéro réservé administration;oui;non
;LFEY;ILE D'YEU;46:43.118N;002:23.466W;aéro ouvert CAP;pcl;non
;LFHA;ISSOIRE LE BROC;45:30.901N;003:16.049E;aéro ouvert CAP;non;oui
;LFEK;ISSOUDUN LE FAY;46:53.317N;002:02.483E;aéro ouvert CAP;non;non
;LFMI;ISTRES LE TUBE;43:31.350N;004:55.449E;aéro ouvert CAP;oui;oui
;LFIX;ITXASSOU;43:20.249N;001:25.333W;aéro restreint;non;non
;LFGK;JOIGNY;47:59.700N;003:23.516E;aéro ouvert CAP;non;oui
;LFFJ;JOINVILLE MUSSEY;48:23.166N;005:08.700E;aéro restreint;non;non
;LFCJ;JONZAC NEULLES;45:29.048N;000:25.283W;aéro ouvert CAP;pcl;oui
;LFQX;JUVANCOURT;48:06.899N;004:49.249E;aéro restreint;non;non
;LFOL;L'AIGLE SAINT MICHEL;48:45.584N;000:39.549E;aéro ouvert CAP;non;non
;LFHU;L'ALPE D'HUEZ;45:05.300N;006:05.081E;Altiport;non;oui
;LFRE;LA BAULE ESCOUBLAC;47:17.364N;002:20.783W;aéro ouvert CAP;non;oui
;LFFQ;LA FERTE ALAIS;48:29.867N;002:20.600E;aéro restreint;non;automat bp
;LFFG;LA FERTE GAUCHER;48:45.350N;003:16.599E;aéro restreint;non;non
;LFAL;LA FLECHE THOREE LES PINS;47:41.649N;000:00.199E;aéro restreint;non;oui
;LFTN;LA GRAND'COMBE;44:14.665N;004:00.733E;aéro restreint;non;non
;LFDR;LA REOLE FLOUDES;44:34.082N;000:03.366W;aéro ouvert CAP;non;non
;LFRI;LA ROCHE SUR YON LES AJONCS;46:42.148N;001:22.899W;aéro ouvert CAP;pcl;oui
;LFBH;LA ROCHELLE ILE DE RE;46:10.748N;001:11.716W;aéro ouvert CAP;oui;oui
;LFKP;LA TOUR DU PIN CESSIEU;45:33.434N;005:23.083E;aéro restreint;non;non
;LFHL;LANGOGNE LESPERON;44:42.384N;003:53.299E;aéro ouvert CAP;non;non
;LFSU;LANGRES ROLAMPONT;47:57.933N;005:17.700E;aéro ouvert CAP;non;non
;LFRO;LANNION;48:45.299N;003:28.466W;aéro ouvert CAP;pcl;oui
;LFAF;LAON CHAMBRY;49:35.751N;003:37.899E;aéro ouvert CAP;non;automat total 
;LFOV;LAVAL ENTRAMMES;48:01.931N;000:44.566W;aéro ouvert CAP;limite;automat total 
